24/08/2019;1.364,80
25/08/2019;1.227,50
26/08/2019;1.459,50
27/08/2019;1.505,80
28/08/2019;1.505,60
29/08/2019;1.516,90
30/08/2019;1.536,80
31/08/2019;1.419,70
01/09/2019;1.278,40
02/09/2019;1.510,10
03/09/2019;1.557,20
04/09/2019;1.555,60
05/09/2019;1.540,90
06/09/2019;1.514,50
07/09/2019;1.317,60
08/09/2019;1.279,20
09/09/2019;1.562,60
10/09/2019;1.632,30
11/09/2019;1.657,80
12/09/2019;1.673,40
13/09/2019;1.626,70
14/09/2019;1.475,50
15/09/2019;1.352,80
16/09/2019;1.625,30
17/09/2019;1.667,70
18/09/2019;1.672,70
19/09/2019;1.658,10
20/09/2019;1.634,30
21/09/2019;1.476,80
22/09/2019;1.314,10
23/09/2019;1.513,70
24/09/2019;1.550,00
25/09/2019;1.554,50
26/09/2019;1.554,40
27/09/2019;1.542,80
28/09/2019;1.408,30
29/09/2019;1.272,10
30/09/2019;1.521,90
01/10/2019;1.603,40
02/10/2019;1.637,00
03/10/2019;1.623,00
04/10/2019;1.613,40
05/10/2019;1.486,50
06/10/2019;1.323,50
07/10/2019;1.544,70
08/10/2019;1.570,50
09/10/2019;1.573,50
10/10/2019;1.591,70
11/10/2019;1.616,60
12/10/2019;1.425,20
13/10/2019;1.387,30
14/10/2019;1.638,50
15/10/2019;1.638,90
16/10/2019;1.647,30
17/10/2019;1.673,80
18/10/2019;1.676,70
19/10/2019;1.518,90
20/10/2019;1.335,50
21/10/2019;1.539,80
22/10/2019;1.573,00
23/10/2019;1.588,10
24/10/2019;1.611,90
25/10/2019;1.646,40
26/10/2019;1.513,50
27/10/2019;1.391,90
28/10/2019;1.636,00
29/10/2019;1.705,20
30/10/2019;1.739,70
31/10/2019;1.716,30
01/11/2019;1.664,50
02/11/2019;1.442,90
03/11/2019;1.394,20
04/11/2019;1.695,70
05/11/2019;1.730,50
06/11/2019;1.673,60
07/11/2019;1.652,80
08/11/2019;1.655,10
09/11/2019;1.525,30
10/11/2019;1.390,10
11/11/2019;1.635,50
12/11/2019;1.649,00
13/11/2019;1.656,90
14/11/2019;1.637,90
15/11/2019;1.433,20
16/11/2019;1.396,80
17/11/2019;1.310,10
18/11/2019;1.563,60
19/11/2019;1.619,70
20/11/2019;1.590,80
21/11/2019;1.655,70
22/11/2019;1.674,70
23/11/2019;1.538,20
24/11/2019;1.335,50
25/11/2019;1.567,80
26/11/2019;1.628,10
27/11/2019;1.643,90
28/11/2019;1.624,30
29/11/2019;1.605,40
30/11/2019;1.510,70
01/12/2019;1.386,30
02/12/2019;1.602,70
03/12/2019;1.614,90
04/12/2019;1.644,80
05/12/2019;1.669,50
06/12/2019;1.642,50
07/12/2019;1.505,50
08/12/2019;1.367,80
09/12/2019;1.627,20
10/12/2019;1.664,20
11/12/2019;1.674,80
12/12/2019;1.684,80
13/12/2019;1.675,70
14/12/2019;1.537,00
15/12/2019;1.420,60
16/12/2019;1.677,70
17/12/2019;1.701,60
18/12/2019;1.665,80
19/12/2019;1.642,60
20/12/2019;1.638,50
21/12/2019;1.534,80
22/12/2019;1.420,30
23/12/2019;1.520,60
24/12/2019;1.434,40
25/12/2019;1.301,70
26/12/2019;1.561,50
27/12/2019;1.616,90
28/12/2019;1.559,20
29/12/2019;1.466,70
30/12/2019;1.572,50
31/12/2019;1.488,30
01/01/2020;1.371,10
02/01/2020;1.563,90
03/01/2020;1.563,20
04/01/2020;1.475,30
05/01/2020;1.383,20
06/01/2020;1.629,50
07/01/2020;1.717,10
08/01/2020;1.729,30
09/01/2020;1.755,20
10/01/2020;1.772,10
11/01/2020;1.624,30
12/01/2020;1.488,40
13/01/2020;1.716,60
14/01/2020;1.745,00
15/01/2020;1.785,00
16/01/2020;1.816,80
17/01/2020;1.722,70
18/01/2020;1.540,00
19/01/2020;1.423,70
20/01/2020;1.686,80
21/01/2020;1.727,30
22/01/2020;1.693,60
23/01/2020;1.658,30
24/01/2020;1.641,60
25/01/2020;1.522,80
26/01/2020;1.423,20
27/01/2020;1.714,90
28/01/2020;1.763,60
29/01/2020;1.779,10
30/01/2020;1.783,60
31/01/2020;1.782,60
01/02/2020;1.636,40
02/02/2020;1.479,50
03/02/2020;1.723,00
04/02/2020;1.743,40
05/02/2020;1.746,00
06/02/2020;1.740,30
07/02/2020;1.734,20
08/02/2020;1.602,30
09/02/2020;1.464,90
10/02/2020;1.688,90
11/02/2020;1.674,20
12/02/2020;1.668,30
13/02/2020;1.686,50
14/02/2020;1.713,70
15/02/2020;1.621,80
16/02/2020;1.506,60
17/02/2020;1.793,60
18/02/2020;1.843,60
19/02/2020;1.828,10
20/02/2020;1.813,90
21/02/2020;1.752,60
22/02/2020;1.529,70
23/02/2020;1.356,00
24/02/2020;1.490,00
25/02/2020;1.524,20
26/02/2020;1.655,20
27/02/2020;1.681,30
28/02/2020;1.661,20
29/02/2020;1.525,30
01/03/2020;1.376,50
02/03/2020;1.611,50
03/03/2020;1.653,30
04/03/2020;1.677,90
05/03/2020;1.695,20
06/03/2020;1.678,70
07/03/2020;1.533,90
08/03/2020;1.403,00
09/03/2020;1.689,90
10/03/2020;1.756,90
11/03/2020;1.769,20
12/03/2020;1.775,90
13/03/2020;1.791,60
14/03/2020;1.634,40
15/03/2020;1.494,20
16/03/2020;1.747,10
17/03/2020;1.766,50
18/03/2020;1.763,90
19/03/2020;1.730,00
20/03/2020;1.679,80
21/03/2020;1.493,10
22/03/2020;1.360,20
23/03/2020;1.509,20
24/03/2020;1.491,00
25/03/2020;1.480,30
26/03/2020;1.478,10
27/03/2020;1.473,20
28/03/2020;1.414,50
29/03/2020;1.338,10
30/03/2020;1.485,00
31/03/2020;1.508,70
01/04/2020;1.502,50
02/04/2020;1.510,80
03/04/2020;1.489,10
04/04/2020;1.370,60
05/04/2020;1.295,40
06/04/2020;1.468,70
07/04/2020;1.464,80
08/04/2020;1.434,00
09/04/2020;1.397,50
10/04/2020;1.230,40
11/04/2020;1.260,10
12/04/2020;1.202,20
13/04/2020;1.385,10
14/04/2020;1.407,70
15/04/2020;1.412,30
16/04/2020;1.387,00
17/04/2020;1.382,90
18/04/2020;1.291,90
19/04/2020;1.195,30
20/04/2020;1.322,10
21/04/2020;1.300,80
22/04/2020;1.403,00
23/04/2020;1.412,30
24/04/2020;1.414,30
25/04/2020;1.316,10
26/04/2020;1.229,40
27/04/2020;1.393,90
28/04/2020;1.419,70
29/04/2020;1.435,90
30/04/2020;1.431,30
01/05/2020;1.288,90
02/05/2020;1.272,40
03/05/2020;1.194,80
04/05/2020;1.373,10
05/05/2020;1.419,90
06/05/2020;1.433,00
07/05/2020;1.402,40
08/05/2020;1.383,20
09/05/2020;1.282,30
10/05/2020;1.166,60
11/05/2020;1.368,30
12/05/2020;1.419,00
13/05/2020;1.435,50
14/05/2020;1.430,80
15/05/2020;1.408,90
16/05/2020;1.291,10
17/05/2020;1.186,10
18/05/2020;1.369,50
19/05/2020;1.406,00
20/05/2020;1.423,20
21/05/2020;1.431,40
22/05/2020;1.429,30
23/05/2020;1.338,10
24/05/2020;1.212,50
25/05/2020;1.327,10
26/05/2020;1.368,80
27/05/2020;1.378,80
28/05/2020;1.380,00
29/05/2020;1.368,60
30/05/2020;1.271,60
31/05/2020;1.172,40
01/06/2020;1.363,90
02/06/2020;1.415,70
03/06/2020;1.433,00
04/06/2020;1.448,80
05/06/2020;1.436,20
06/06/2020;1.326,50
07/06/2020;1.208,30
08/06/2020;1.413,00
09/06/2020;1.458,40
10/06/2020;1.463,30
11/06/2020;1.360,00
12/06/2020;1.394,00
13/06/2020;1.318,20
14/06/2020;1.203,00
15/06/2020;1.375,40
16/06/2020;1.405,40
17/06/2020;1.407,00
18/06/2020;1.405,60
19/06/2020;1.417,10
20/06/2020;1.334,70
21/06/2020;1.223,30
22/06/2020;1.425,70
23/06/2020;1.442,20
24/06/2020;1.438,80
25/06/2020;1.461,50
26/06/2020;1.456,80
27/06/2020;1.353,10
28/06/2020;1.224,40
29/06/2020;1.413,40
30/06/2020;1.413,90
